id,chapter_id,part_label,order_index,type,stem_or_scenario,options_or_blanks,correct_answer,marks,knowledge_tags,explanation
q-u3-b3,ch-10,B,3,multiple_choice,"{{student_name}} steps off a boat onto a dock. As he pushes forward, the boat moves backward away from the dock. This illustrates:","A: Newton's First Law|B: Newton's Second Law|C: Newton's Third Law (Action-Reaction)|D: Law of Universal Gravitation",C,2,SCI-PHYS-NEWTON-LAWS,"For every action force, there is an equal and opposite reaction force."
q-u3-c1,ch-9,C,1,short_answer,"{{student_name}} walks to a park 180 meters away. He starts at 3:10 p.m. and arrives at 3:13 p.m. (3 minutes). What was his average speed?","1 m/s, 60 m/min","1 m/s (or 60 meters per minute).",2,SCI-PHYS-MOTION,"Speed = Distance / Time = 180 m / 180 s = 1 m/s."
q-u3-c2,ch-10,C,2,short_answer,"A box has a mass of 16 kg. {{student_name}} pushes with 50 N, while friction opposes with 18 N. What is the box's acceleration?","2 m/s2, 2 m/s^2, 2 N/kg","2 m/s² (Net force = 50 - 18 = 32 N; a = F/m = 32 / 16 = 2 m/s²).",3,SCI-PHYS-NEWTON-LAWS,"Net force F = 32 N; a = F / m = 32 / 16 = 2 m/s²."
q-u3-c3,ch-12,C,3,short_answer,"{{student_name}} pushes a desk with 40 N of force across 3 meters in 6 seconds. How much work was done?","120 J, 120 Joules","120 Joules (Work = Force * Distance = 40 N * 3 m = 120 J).",3,SCI-PHYS-WORK,"Work = Force * Distance = 40 * 3 = 120 Joules."
q-u4k-a1,ch-13,A,1,word_bank,"The ability to cause change or do work is called [blank].","energy, kinetic energy, potential energy, temperature, heat, circuit, conductor, insulator, current, voltage",energy,1,SCI-PHYS-ENERGY,"Energy is defined as the capacity to do work."
q-u4k-a2,ch-13,A,2,word_bank,"The energy an object possesses due to its motion is [blank].","energy, kinetic energy, potential energy, temperature, heat, circuit, conductor, insulator, current, voltage",kinetic energy,1,SCI-PHYS-ENERGY,"Kinetic energy increases with mass and velocity (KE = 1/2 mv²)."
q-u4k-a3,ch-13,A,3,word_bank,"Energy that is stored and ready to be used is [blank].","energy, kinetic energy, potential energy, temperature, heat, circuit, conductor, insulator, current, voltage",potential energy,1,SCI-PHYS-ENERGY,"Potential energy depends on an object's position or chemical composition."
q-u4k-a4,ch-14,A,4,word_bank,"The average kinetic energy of the particles in a substance is its [blank].","energy, kinetic energy, potential energy, temperature, heat, circuit, conductor, insulator, current, voltage",temperature,1,SCI-PHYS-THERMAL,"Temperature measures the average molecular motion."
q-u4k-a5,ch-14,A,5,word_bank,"The transfer of thermal energy from warmer objects to cooler objects is [blank].","energy, kinetic energy, potential energy, temperature, heat, circuit, conductor, insulator, current, voltage",heat,1,SCI-PHYS-THERMAL,"Heat always flows spontaneously from higher temperature to lower temperature."
q-u4k-a6,ch-16,A,6,word_bank,"A closed loop through which electric current can flow is a [blank].","energy, kinetic energy, potential energy, temperature, heat, circuit, conductor, insulator, current, voltage",circuit,1,SCI-PHYS-ELECTRICITY,"A complete closed path is required for current to circulate."
q-u4k-a7,ch-16,A,7,word_bank,"A material that allows electric charges to flow freely is a [blank].","energy, kinetic energy, potential energy, temperature, heat, circuit, conductor, insulator, current, voltage",conductor,1,SCI-PHYS-ELECTRICITY,"Metals like copper and aluminum are good electrical conductors."
q-u4k-a8,ch-16,A,8,word_bank,"A material that resists the flow of electric charges is an [blank].","energy, kinetic energy, potential energy, temperature, heat, circuit, conductor, insulator, current, voltage",insulator,1,SCI-PHYS-ELECTRICITY,"Rubber, plastic, and glass are electrical insulators."
q-u4k-b1,ch-14,B,1,multiple_choice,"Heat travels through a metal spoon left in hot soup, making the handle warm. What type of heat transfer is this?","A: Conduction|B: Convection|C: Radiation|D: Transformation",A,2,SCI-PHYS-THERMAL,"Conduction is heat transfer through direct contact between vibrating particles in solids."
q-u4k-b2,ch-14,B,2,multiple_choice,"Warm air rises from a heater, cools near the ceiling, sinks, and circulates around the room. What type of heat transfer is this?","A: Conduction|B: Convection|C: Radiation|D: Induction",B,2,SCI-PHYS-THERMAL,"Convection is heat transfer by the physical circulation of fluid currents (liquids and gases)."
q-u4k-b3,ch-14,B,3,multiple_choice,"Standing near a campfire, {{student_name}} feels warmth on his face even without touching the flames. What type of heat transfer is this?","A: Conduction|B: Convection|C: Radiation (electromagnetic waves)|D: Friction",C,2,SCI-PHYS-THERMAL,"Radiation transfers energy through electromagnetic infrared waves across space."
q-u4k-c1,ch-15,C,1,short_answer,"On a wave diagram, what is the highest point of a wave called, and what is the lowest point called?","crest, trough","The highest point is the crest, and the lowest point is the trough.",2,SCI-PHYS-WAVES,"Peak is crest; bottom is trough."
q-u4k-c2,ch-15,C,2,short_answer,"What is the difference between mechanical waves and electromagnetic waves?","medium, matter, vacuum, empty space","Mechanical waves require a physical medium/matter to travel, while electromagnetic waves can travel through a vacuum.",2,SCI-PHYS-WAVES,"Sound is mechanical (needs air/water); light is electromagnetic (travels through space)."
q-u4k-c3,ch-16,C,3,short_answer,"What happens when one light bulb burns out in a series circuit versus in a parallel circuit?","series stops, parallel stays lit","In a series circuit all other bulbs go out; in a parallel circuit the other bulbs remain lit.",2,SCI-PHYS-ELECTRICITY,"Series circuits have a single loop; parallel circuits have independent branches."
q-u4a-a1,ch-13,A,1,true_false,"{{student_name}} says: 'A flashlight creates new energy because the battery turns into light.'","TRUE, FALSE",FALSE,2,SCI-PHYS-ENERGY,"Energy cannot be created; the battery converts stored chemical energy into electrical and then light/thermal energy."
q-u4a-a2,ch-15,A,2,true_false,"{{student_name}} says: 'In outer space, sound waves can travel through empty space just like light waves.'","TRUE, FALSE",FALSE,2,SCI-PHYS-WAVES,"Sound is a mechanical wave requiring matter; it cannot travel through empty space/vacuum."
q-u4a-a3,ch-16,A,3,true_false,"A plastic ruler can be used in place of a broken wire to carry electric current in a circuit.","TRUE, FALSE",FALSE,2,SCI-PHYS-ELECTRICITY,"Plastic is an electrical insulator and does not conduct electric current."
q-u4a-b1,ch-16,B,1,short_answer,"A flashlight bulb has 3 ohms of resistance and is powered by a 6 V battery. What is the electric current? (I = V / R)","2 A, 2 Amperes","2 A (Current I = 6 V / 3 Ω = 2 Amperes).",2,SCI-PHYS-ELECTRICITY,"Ohm's Law: I = V / R = 6 / 3 = 2 A."
q-u4a-b2,ch-16,B,2,short_answer,"A device uses 120 V and draws 5 A of current. What is its electrical power in Watts? (P = V * I)","600 W, 600 Watts","600 Watts (Power = 120 V * 5 A = 600 W).",2,SCI-PHYS-ELECTRICITY,"P = V * I = 120 * 5 = 600 W."
q-u4a-b3,ch-15,B,3,short_answer,"A sound wave has a frequency of 250 Hz and a wavelength of 1.4 m. What is the wave speed? (Speed = Frequency * Wavelength)","350 m/s","350 m/s (Speed = 250 Hz * 1.4 m = 350 m/s).",2,SCI-PHYS-WAVES,"v = f * λ = 250 * 1.4 = 350 m/s."
q-u4a-c1,ch-17,C,1,multiple_choice,"Which of the following energy resources are considered RENEWABLE?","A: Coal and natural gas|B: Solar and wind|C: Petroleum and uranium|D: Nuclear and coal",B,2,SCI-PHYS-ENERGY,"Solar and wind naturally replenish over short timescales."
q-u4a-c2,ch-17,C,2,short_answer,"In a solar panel, what energy transformation takes place?","light to electrical, radiant to electrical","Light (radiant) energy is converted into electrical energy.",2,SCI-PHYS-ENERGY,"Solar cells convert sunlight photons into electricity."
q-u8-a1,ch-32,A,1,word_bank,"A green pigment in plants that absorbs sunlight for photosynthesis is [blank].","chlorophyll, cuticle, xylem, phloem, spore, stomata, tropism, homeostasis, metamorphosis",chlorophyll,1,SCI-BIO-PLANTS,"Chlorophyll traps light energy inside chloroplasts."
q-u8-a2,ch-32,A,2,word_bank,"A waxy protective layer covering leaves that prevents water loss is the [blank].","chlorophyll, cuticle, xylem, phloem, spore, stomata, tropism, homeostasis, metamorphosis",cuticle,1,SCI-BIO-PLANTS,"The cuticle protects against dehydration."
q-u8-a3,ch-32,A,3,word_bank,"Vascular plant tissue that transports water and minerals upward from roots is [blank].","chlorophyll, cuticle, xylem, phloem, spore, stomata, tropism, homeostasis, metamorphosis",xylem,1,SCI-BIO-PLANTS,"Xylem flows upward from roots to leaves."
q-u8-a4,ch-32,A,4,word_bank,"Vascular plant tissue that transports dissolved sugars/food throughout the plant is [blank].","chlorophyll, cuticle, xylem, phloem, spore, stomata, tropism, homeostasis, metamorphosis",phloem,1,SCI-BIO-PLANTS,"Phloem carries sugars made in leaves to growth and storage areas."
q-u8-a5,ch-32,A,5,word_bank,"Tiny microscopic openings in leaves that regulate gas exchange and transpiration are [blank].","chlorophyll, cuticle, xylem, phloem, spore, stomata, tropism, homeostasis, metamorphosis",stomata,1,SCI-BIO-PLANTS,"Stomata open and close via guard cells to exchange CO2 and O2."
q-u8-a6,ch-35,A,6,word_bank,"Plant growth movement toward or away from an environmental stimulus is a [blank].","chlorophyll, cuticle, xylem, phloem, spore, stomata, tropism, homeostasis, metamorphosis",tropism,1,SCI-BIO-PLANTS,"Phototropism is growth toward light; gravitropism is response to gravity."
q-u8-a7,ch-35,A,7,word_bank,"An organism's ability to maintain stable internal conditions despite external changes is [blank].","chlorophyll, cuticle, xylem, phloem, spore, stomata, tropism, homeostasis, metamorphosis",homeostasis,1,SCI-BIO-ANIMALS,"Sweating, shivering, and panting are examples of homeostasis."
q-u8-a8,ch-35,A,8,word_bank,"The developmental transformation of an animal from larva to adult is [blank].","chlorophyll, cuticle, xylem, phloem, spore, stomata, tropism, homeostasis, metamorphosis",metamorphosis,1,SCI-BIO-ANIMALS,"Butterflies and frogs undergo metamorphosis."
q-u8-b1,ch-32,B,1,multiple_choice,"{{student_name}} waters a tall tomato plant in the morning. A few hours later, the top leaves are firm. Which vascular tissue carried the water upward?","A: Phloem|B: Xylem|C: Cuticle|D: Stomata",B,2,SCI-BIO-PLANTS,"Xylem transports water and dissolved soil minerals upward."
q-u8-b2,ch-32,B,2,multiple_choice,"A maple tree produces sugar in its leaves. Which tissue carries this sugar to the roots for storage?","A: Xylem|B: Phloem|C: Epidermis|D: Stomata",B,2,SCI-BIO-PLANTS,"Phloem transports manufactured sugars throughout the plant."
q-u8-b3,ch-32,B,3,multiple_choice,"{{student_name}} finds a plant in a forest with vascular tissue and tiny reproductive dots under its leaves, but no flowers or seeds. It is a:","A: Nonvascular moss|B: Seedless vascular plant (fern)|C: Angiosperm|D: Gymnosperm",B,2,SCI-BIO-PLANTS,"Ferns are seedless vascular plants that reproduce via spores."
q-u8-b4,ch-32,B,4,multiple_choice,"An apple tree produces flowers and fruit containing seeds, while a pine tree produces seeds in cones without fruit. How are they classified?","A: Both are gymnosperms|B: Apple tree is an angiosperm; pine tree is a gymnosperm|C: Both are angiosperms|D: Apple tree is nonvascular",B,2,SCI-BIO-PLANTS,"Angiosperms have flowers and fruit; gymnosperms produce naked seeds in cones."
q-u8-b5,ch-33,B,5,multiple_choice,"An animal has 6 jointed legs, 3 body sections, and an exoskeleton. Another animal has 8 legs and no antennae. How are they classified?","A: Both are arachnids|B: The first is an insect; the second is an arachnid|C: Both are vertebrates|D: Both are cnidarians",B,2,SCI-BIO-ANIMALS,"Insects have 6 legs and 3 body segments; arachnids have 8 legs and 2 body segments."
q-u8-b6,ch-34,B,6,multiple_choice,"Why are frogs classified as amphibians?","A: They are cold-blooded reptiles|B: They begin life in water with gills and develop lungs to live on land|C: They are warm-blooded mammals|D: They cannot breathe air",B,2,SCI-BIO-ANIMALS,"Amphibian means 'double life' — aquatic larvae and terrestrial/semi-terrestrial adults."
q-u8-b7,ch-35,B,7,multiple_choice,"On a hot summer day, a dog pants heavily and {{student_name}} starts sweating after running. What process does this demonstrate?","A: Converting heat to chemical energy|B: Homeostasis — releasing excess heat to maintain internal temperature|C: Ectothermic cold-blooded behavior|D: Plant phototropism",B,2,SCI-BIO-ANIMALS,"Sweating and panting evaporate moisture to cool the body and maintain homeostasis."
q-u8-c1,ch-33,C,1,classification,"Classify these organisms into their biological groups: jellyfish, earthworm, butterfly, spider, frog, blue jay.","cnidarian, segmented worm, insect, arachnid, amphibian, bird",cnidarian: jellyfish; segmented worm: earthworm; insect: butterfly; arachnid: spider; amphibian: frog; bird: blue jay,6,SCI-BIO-ANIMALS,"Major animal phyla and vertebrate/invertebrate classes."
q-u8-d1,ch-32,D,1,short_answer,"On a hot, dry day, a plant closes its stomata. What is one advantage and one disadvantage of this response?","saves water, reduces carbon dioxide, reduces photosynthesis","Advantage: Prevents dehydration / water loss. Disadvantage: Reduces CO2 uptake, slowing down photosynthesis.",3,SCI-BIO-PLANTS,"Closing stomata conserves moisture but limits gas intake for sugar production."
q-u8-d2,ch-32,D,2,short_answer,"A young bean plant near a window bends its stem toward the sunlight. What is the scientific name for this response?","phototropism, tropism","Phototropism (positive phototropism).",2,SCI-BIO-PLANTS,"Phototropism maximizes light capture for photosynthesis."
q-u8-e1,ch-30,E,1,multiple_choice,"A bean plant near a window uses sunlight, carbon dioxide, and water to produce glucose. What process is this?","A: Photosynthesis|B: Cellular respiration|C: Transpiration|D: Fermentation",A,1,SCI-BIO-CELLS,"Photosynthesis converts radiant solar energy into chemical energy stored in glucose."
q-u8-e2,ch-30,E,2,multiple_choice,"Which cell organelle in plant cells carries out photosynthesis?","A: Mitochondria|B: Chloroplast|C: Nucleus|D: Vacuole",B,1,SCI-BIO-CELLS,"Chloroplasts contain chlorophyll and carry out photosynthesis."
q-u8-e3,ch-30,E,3,multiple_choice,"A rabbit eats the bean plant's leaves and breaks down glucose to release energy for movement. What cellular process is this?","A: Digestion only|B: Cellular respiration|C: Phototropism|D: Photosynthesis",B,1,SCI-BIO-CELLS,"Cellular respiration in mitochondria releases ATP energy from glucose."
